,province_name,temp,link
29,Quảng Trị,21°C,https://nchmf.gov.vn/Kttv/vi-VN/1/quang-tri-w6.html
30,Huế,21°C,https://nchmf.gov.vn/Kttv/vi-VN/1/hue-w7.html
31,Đà Nẵng,24°C,https://nchmf.gov.vn/Kttv/vi-VN/1/da-nang-w55.html
32,Quảng Nam,24°C,https://nchmf.gov.vn/Kttv/vi-VN/1/quang-nam-w62.html
33,Quảng Ngãi,24°C,https://nchmf.gov.vn/Kttv/vi-VN/1/quang-ngai-w8.html
34,Bình Định,25°C,https://nchmf.gov.vn/Kttv/vi-VN/1/binh-dinh-w56.html
35,Phú Yên,26°C,https://nchmf.gov.vn/Kttv/vi-VN/1/phu-yen-w59.html
36,Khánh Hòa,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/khanh-hoa-w9.html
37,Ninh Thuận,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ninh-thuan-w60.html
38,Bình Thuận,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/binh-thuan-w10.html
39,Kon Tum,25°C,https://nchmf.gov.vn/Kttv/vi-VN/1/kon-tum-w11.html
40,Gia Lai,23°C,https://nchmf.gov.vn/Kttv/vi-VN/1/gia-lai-w12.html
41,Đắc Lăk,25°C,https://nchmf.gov.vn/Kttv/vi-VN/1/dac-lak-w13.html
42,Đắc Nông,27°C,https://nchmf.gov.vn/Kttv/vi-VN/1/dac-nong-w39.html
43,Lâm Đồng,19°C,https://nchmf.gov.vn/Kttv/vi-VN/1/lam-dong-w14.html
44,Bình Phước,31°C,https://nchmf.gov.vn/Kttv/vi-VN/1/binh-phuoc-w30.html
45,Tây Ninh,30°C,https://nchmf.gov.vn/Kttv/vi-VN/1/tay-ninh-w35.html
46,Đồng Nai,31°C,https://nchmf.gov.vn/Kttv/vi-VN/1/dong-nai-w32.html
47,Bình Dương,31°C,https://nchmf.gov.vn/Kttv/vi-VN/1/binh-duong-w16.html
48,Hồ Chí Minh,29°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ho-chi-minh-w15.html
49,BR-Vũng Tàu,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/br-vung-tau-w31.html
50,Long An,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/long-an-w21.html
51,Tiền Giang,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/tien-giang-w23.html
52,Vĩnh Long,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/vinh-long-w57.html
53,Bến tre,27°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ben-tre-w24.html
54,Đồng Tháp,30°C,https://nchmf.gov.vn/Kttv/vi-VN/1/dong-thap-w22.html
55,Trà Vinh,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/tra-vinh-w25.html
56,An Giang,30°C,https://nchmf.gov.vn/Kttv/vi-VN/1/an-giang-w58.html
57,Cần Thơ,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/can-tho-w26.html
58,Hậu Giang,27°C,https://nchmf.gov.vn/Kttv/vi-VN/1/hau-giang-w40.html
59,Sóc Trăng,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/soc-trang-w27.html
60,Kiên Giang,30°C,https://nchmf.gov.vn/Kttv/vi-VN/1/kien-giang-w41.html
61,Bạc Liêu,28°C,https://nchmf.gov.vn/Kttv/vi-VN/1/bac-lieu-w29.html
62,Cà Mau,29°C,https://nchmf.gov.vn/Kttv/vi-VN/1/ca-mau-w42.html
